fpr_LightGBM,tpr_LightGBM,fpr_TCN_refined,tpr_TCN_refined,auc_LightGBM,auc_TCN_refined,prevalence
0.0,0.0,0.0,0.0,0.8461538461538463,0.9230769230769231,0.8666666666666667
0.0,0.07692307692307693,0.0,0.07692307692307693,0.8461538461538463,0.9230769230769231,0.8666666666666667
0.0,0.23076923076923078,0.0,0.9230769230769231,0.8461538461538463,0.9230769230769231,0.8666666666666667
0.0,0.7692307692307693,1.0,0.9230769230769231,0.8461538461538463,0.9230769230769231,0.8666666666666667
0.5,0.7692307692307693,1.0,1.0,0.8461538461538463,0.9230769230769231,0.8666666666666667
0.5,0.9230769230769231,,,0.8461538461538463,0.9230769230769231,0.8666666666666667
1.0,0.9230769230769231,,,0.8461538461538463,0.9230769230769231,0.8666666666666667
1.0,1.0,,,0.8461538461538463,0.9230769230769231,0.8666666666666667
