recall_LightGBM,precision_LightGBM,recall_TCN_refined,precision_TCN_refined,ap_LightGBM,ap_TCN_refined
1.0,0.2,1.0,0.2,0.9166666666666665,0.6333333333333333
1.0,0.21428571428571427,1.0,0.21428571428571427,0.9166666666666665,0.6333333333333333
1.0,0.23076923076923078,1.0,0.23076923076923078,0.9166666666666665,0.6333333333333333
1.0,0.25,1.0,0.25,0.9166666666666665,0.6333333333333333
1.0,0.2727272727272727,1.0,0.2727272727272727,0.9166666666666665,0.6333333333333333
1.0,0.3,1.0,0.3,0.9166666666666665,0.6333333333333333
1.0,0.3333333333333333,1.0,0.3333333333333333,0.9166666666666665,0.6333333333333333
1.0,0.375,1.0,0.375,0.9166666666666665,0.6333333333333333
1.0,0.42857142857142855,1.0,0.42857142857142855,0.9166666666666665,0.6333333333333333
1.0,0.5,1.0,0.5,0.9166666666666665,0.6333333333333333
1.0,0.6,0.6666666666666666,0.4,0.9166666666666665,0.6333333333333333
1.0,0.75,0.3333333333333333,0.25,0.9166666666666665,0.6333333333333333
0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.9166666666666665,0.6333333333333333
0.6666666666666666,1.0,0.3333333333333333,0.5,0.9166666666666665,0.6333333333333333
0.3333333333333333,1.0,0.3333333333333333,1.0,0.9166666666666665,0.6333333333333333
0.0,1.0,0.0,1.0,0.9166666666666665,0.6333333333333333
