fpr_LightGBM,tpr_LightGBM,fpr_TCN_refined,tpr_TCN_refined,auc_LightGBM,auc_TCN_refined,prevalence
0.0,0.0,0.0,0.0,0.9722222222222222,0.8333333333333334,0.2
0.0,0.3333333333333333,0.0,0.3333333333333333,0.9722222222222222,0.8333333333333334,0.2
0.0,0.6666666666666666,0.25,0.3333333333333333,0.9722222222222222,0.8333333333333334,0.2
0.08333333333333333,0.6666666666666666,0.25,1.0,0.9722222222222222,0.8333333333333334,0.2
0.08333333333333333,1.0,1.0,1.0,0.9722222222222222,0.8333333333333334,0.2
1.0,1.0,,,0.9722222222222222,0.8333333333333334,0.2
