model,target,roc_auc,f1,accuracy,precision,recall,brier,ece,rmse,r2
LightGBM,max_risk,0.8461538461538463,0.9285714285714286,0.8666666666666667,0.8666666666666667,1.0,0.09733198740620179,0.1159943468800328,,
LightGBM,median_risk,0.9722222222222222,0.8571428571428571,0.9333333333333333,0.75,1.0,0.06474739579464278,0.09306493304935415,,
LightGBM,pct_time_high,,,,,,,,0.03818748481119838,0.7932699708700508
TCN_refined,max_risk,0.9230769230769231,0.9285714285714286,0.8666666666666667,0.8666666666666667,1.0,0.1010062926265254,0.14881746666666662,,
TCN_refined,median_risk,0.8333333333333334,0.5454545454545454,0.6666666666666666,0.375,1.0,0.20069284025656084,0.251232088,,
TCN_refined,pct_time_high,,,,,,,,0.05648987951009945,0.5476207137107849
