timestep,systolic_bp_roll24h_min,level_of_consciousness,respiratory_rate_missing_pct,heart_rate,systolic_bp
68,2.5451182e-05,2.0617701e-05,1.3732445e-05,3.1639876e-05,1.3641921e-05
69,1.6380454e-05,1.4713069e-05,1.8378454e-05,2.9790097e-05,1.9483978e-05
70,2.9455401e-05,2.0034513e-05,1.8044566e-05,2.8366758e-05,1.8134093e-05
71,1.8259116e-05,8.64362e-06,1.7751927e-05,2.009864e-05,1.1396045e-05
72,1.4477836e-05,1.1787459e-05,2.248033e-05,2.705626e-05,2.5495367e-05
73,2.145753e-05,1.7700026e-05,1.36976205e-05,2.0736352e-05,2.3368415e-05
74,2.348446e-05,1.0949716e-05,1.5755422e-05,1.6805578e-05,1.6127437e-05
75,1.8329465e-05,1.7868755e-05,2.3640298e-05,2.8238213e-05,2.1259393e-05
76,1.7770193e-05,1.2078075e-05,1.7719403e-05,3.784555e-05,1.047223e-05
77,1.6306278e-05,1.4446787e-05,1.7459683e-05,2.787876e-05,1.8989462e-05
78,2.3325261e-05,1.49128355e-05,2.1653632e-05,1.857931e-05,1.3289082e-05
79,2.3696603e-05,1.4514538e-05,1.3331158e-05,1.9566836e-05,1.8451894e-05
80,3.4296703e-05,1.2881425e-05,1.9223395e-05,1.566113e-05,1.4386313e-05
81,1.789861e-05,1.8853878e-05,1.5243002e-05,1.1760753e-05,2.6522046e-05
82,1.691886e-05,8.617328e-06,1.2859552e-05,1.03191405e-05,1.6250033e-05
83,1.8875464e-05,1.1544599e-05,1.9107716e-05,1.298202e-05,1.4240382e-05
84,1.2718187e-05,9.634495e-06,2.0825571e-05,1.29013315e-05,1.5143921e-05
85,1.760519e-05,1.3494296e-05,2.4508487e-05,1.6907352e-05,9.124269e-06
86,2.2895185e-05,1.1869643e-05,1.8451194e-05,4.5031625e-06,1.7472488e-05
87,1.57137e-05,1.789912e-05,1.5388465e-05,1.9816795e-05,1.0434208e-05
88,9.033721e-06,9.9529425e-06,1.3328902e-05,2.0508023e-05,8.344712e-06
89,1.862655e-05,1.2180479e-05,2.4319559e-05,1.6577778e-05,1.460404e-05
90,1.6879249e-05,9.424565e-06,1.1769539e-05,2.1516149e-05,1.2517743e-05
91,1.8251767e-05,1.4541811e-05,8.6252985e-06,1.4923679e-05,7.2193848e-06
92,2.210122e-05,9.769651e-06,7.712866e-06,9.114026e-06,1.05487725e-05
93,1.3261734e-05,1.7532435e-05,7.7837885e-06,1.3866037e-05,9.795813e-06
94,1.3189307e-05,6.2512636e-06,3.9352144e-06,4.3483433e-06,7.4618815e-06
95,1.4910697e-05,8.874569e-06,2.5904596e-06,3.5327562e-06,9.033575e-06
